Runtime WSselect WSpush WSpush_init Strict_Push Progname Size Blocksize Iterations Threads Gflops
komp hws_P_N Whws cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1967.433572
komp hws_P_N Whws cyclicnuma loose dpotrf_taskdep 32768 512 1 192 2042.641707
komp hws_P_N Whws cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1968.468824
komp hws_P_N Whws cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1888.606679
komp hws_P_N Whws cyclicnuma loose dpotrf_taskdep 32768 512 1 192 2031.664464
komp hws_P_N Whws cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1942.875445
komp hws_P_N Whws cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1986.927673
komp hws_P_N Whws cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1889.795875
komp hws_P_N Whws cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1983.793729
komp hws_P_N Whws cyclicnuma loose dpotrf_taskdep 32768 512 1 192 2021.507765
komp hws_P_N Whws cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1986.670820
komp hws_P_N Whws cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1891.356484
komp hws_P_N Whws cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1927.193543
komp hws_P_N Whws cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1974.876740
komp hws_P_N Whws cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1911.857200
komp hws_N_P Whws randnuma strict dpotrf_taskdep 8192 224 1 192 409.854069
komp hws_N_P Whws randnuma strict dpotrf_taskdep 8192 224 1 192 342.013065
komp hws_N_P Whws randnuma strict dpotrf_taskdep 8192 224 1 192 222.863864
komp hws_N_P Whws randnuma strict dpotrf_taskdep 8192 224 1 192 197.033276
komp hws_N_P Whws randnuma strict dpotrf_taskdep 8192 224 1 192 303.535671
komp hws_N_P Whws randnuma strict dpotrf_taskdep 8192 224 1 192 402.462599
komp hws_N_P Whws randnuma strict dpotrf_taskdep 8192 224 1 192 332.686824
komp hws_N_P Whws randnuma strict dpotrf_taskdep 8192 224 1 192 312.745651
komp hws_N_P Whws randnuma strict dpotrf_taskdep 8192 224 1 192 365.114119
komp hws_N_P Whws randnuma strict dpotrf_taskdep 8192 224 1 192 324.012545
komp hws_N_P Whws randnuma strict dpotrf_taskdep 8192 224 1 192 202.170429
komp hws_N_P Whws randnuma strict dpotrf_taskdep 8192 224 1 192 350.547434
komp hws_N_P Whws randnuma strict dpotrf_taskdep 8192 224 1 192 364.120428
komp hws_N_P Whws randnuma strict dpotrf_taskdep 8192 224 1 192 322.251212
komp hws_N_P Whws randnuma strict dpotrf_taskdep 8192 224 1 192 360.733616
komp hws_N_P Whws randnuma strict dpotrf_taskdep 16384 256 1 192 510.798207
komp hws_N_P Whws randnuma strict dpotrf_taskdep 16384 256 1 192 829.787902
komp hws_N_P Whws randnuma strict dpotrf_taskdep 16384 256 1 192 545.488239
komp hws_N_P Whws randnuma strict dpotrf_taskdep 16384 256 1 192 740.466634
komp hws_N_P Whws randnuma strict dpotrf_taskdep 16384 256 1 192 832.120925
komp hws_N_P Whws randnuma strict dpotrf_taskdep 16384 256 1 192 662.642878
komp hws_N_P Whws randnuma strict dpotrf_taskdep 16384 256 1 192 851.640212
komp hws_N_P Whws randnuma strict dpotrf_taskdep 16384 256 1 192 851.945559
komp hws_N_P Whws randnuma strict dpotrf_taskdep 16384 256 1 192 723.046211
komp hws_N_P Whws randnuma strict dpotrf_taskdep 16384 256 1 192 817.259549
komp hws_N_P Whws randnuma strict dpotrf_taskdep 16384 256 1 192 680.150983
komp hws_N_P Whws randnuma strict dpotrf_taskdep 16384 256 1 192 643.714463
komp hws_N_P Whws randnuma strict dpotrf_taskdep 16384 256 1 192 743.211504
komp hws_N_P Whws randnuma strict dpotrf_taskdep 16384 256 1 192 556.437424
komp hws_N_P Whws randnuma strict dpotrf_taskdep 16384 256 1 192 724.537632
komp hws_N_P Whws randnuma strict dpotrf_taskdep 32768 512 1 192 1134.779598
komp hws_N_P Whws randnuma strict dpotrf_taskdep 32768 512 1 192 1056.794453
komp hws_N_P Whws randnuma strict dpotrf_taskdep 32768 512 1 192 1098.470436
komp hws_N_P Whws randnuma strict dpotrf_taskdep 32768 512 1 192 1245.561805
komp hws_N_P Whws randnuma strict dpotrf_taskdep 32768 512 1 192 1222.343639
komp hws_N_P Whws randnuma strict dpotrf_taskdep 32768 512 1 192 1217.761656
komp hws_N_P Whws randnuma strict dpotrf_taskdep 32768 512 1 192 1282.423235
komp hws_N_P Whws randnuma strict dpotrf_taskdep 32768 512 1 192 1029.433388
komp hws_N_P Whws randnuma strict dpotrf_taskdep 32768 512 1 192 1269.486995
komp hws_N_P Whws randnuma strict dpotrf_taskdep 32768 512 1 192 1283.198710
komp hws_N_P Whws randnuma strict dpotrf_taskdep 32768 512 1 192 1120.336201
komp hws_N_P Whws randnuma strict dpotrf_taskdep 32768 512 1 192 1046.620248
komp hws_N_P Whws randnuma strict dpotrf_taskdep 32768 512 1 192 1257.824476
komp hws_N_P Whws randnuma strict dpotrf_taskdep 32768 512 1 192 1095.320878
komp hws_N_P Whws randnuma strict dpotrf_taskdep 32768 512 1 192 1161.513328
komp hws_N Whws cyclicnuma loose dpotrf_taskdep 16384 256 1 192 1126.939881
komp hws_N Whws cyclicnuma loose dpotrf_taskdep 16384 256 1 192 1069.593611
komp hws_N Whws cyclicnuma loose dpotrf_taskdep 16384 256 1 192 1027.873732
komp hws_N Whws cyclicnuma loose dpotrf_taskdep 16384 256 1 192 967.024746
komp hws_N Whws cyclicnuma loose dpotrf_taskdep 16384 256 1 192 977.089927
komp hws_N Whws cyclicnuma loose dpotrf_taskdep 16384 256 1 192 1030.555577
komp hws_N Whws cyclicnuma loose dpotrf_taskdep 16384 256 1 192 952.105881
komp hws_N Whws cyclicnuma loose dpotrf_taskdep 16384 256 1 192 1072.120741
komp hws_N Whws cyclicnuma loose dpotrf_taskdep 16384 256 1 192 1174.112730
komp hws_N Whws cyclicnuma loose dpotrf_taskdep 16384 256 1 192 1070.433110
komp hws_N Whws cyclicnuma loose dpotrf_taskdep 16384 256 1 192 1006.923911
komp hws_N Whws cyclicnuma loose dpotrf_taskdep 16384 256 1 192 984.325431
komp hws_N Whws cyclicnuma loose dpotrf_taskdep 16384 256 1 192 1076.054212
komp hws_N Whws cyclicnuma loose dpotrf_taskdep 16384 256 1 192 1055.069284
komp hws_N Whws cyclicnuma loose dpotrf_taskdep 16384 256 1 192 1084.738245
komp hws_N Whws cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1603.160639
komp hws_N Whws cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1756.472254
komp hws_N Whws cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1606.523959
komp hws_N Whws cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1608.252110
komp hws_N Whws cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1609.169795
komp hws_N Whws cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1594.722043
komp hws_N Whws cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1671.868239
komp hws_N Whws cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1534.634964
komp hws_N Whws cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1395.534657
komp hws_N Whws cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1595.454816
komp hws_N Whws cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1608.127721
komp hws_N Whws cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1553.270007
komp hws_N Whws cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1611.851823
komp hws_N Whws cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1539.345650
komp hws_N Whws cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1498.202922
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 32768 256 1 192 1570.431967
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 32768 256 1 192 1579.308805
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 32768 256 1 192 1552.731397
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 32768 256 1 192 1573.269690
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 32768 256 1 192 1507.999738
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 32768 256 1 192 1532.760204
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 32768 256 1 192 1612.376111
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 32768 256 1 192 1578.090310
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 32768 256 1 192 1548.922057
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 32768 256 1 192 1586.593102
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 32768 256 1 192 1515.544304
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 32768 256 1 192 1596.209602
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 32768 256 1 192 1575.236043
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 32768 256 1 192 1532.021754
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 32768 256 1 192 1554.497370
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1744.035668
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1705.316348
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1829.239763
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1749.079253
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1829.039264
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1799.139246
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1781.223585
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1862.715851
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1810.489254
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1794.419965
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1802.760282
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1835.538071
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1752.020486
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1722.921006
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1806.204512
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 256 1 192 1234.040178
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 256 1 192 1191.751382
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 256 1 192 1255.506866
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 256 1 192 1267.679217
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 256 1 192 1259.888176
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 256 1 192 1185.625004
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 256 1 192 1145.255855
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 256 1 192 1204.941434
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 256 1 192 1217.002605
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 256 1 192 1189.044251
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 256 1 192 1145.888817
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 256 1 192 1168.206738
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 256 1 192 1235.520112
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 256 1 192 1248.787183
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 256 1 192 1224.152054
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 512 1 192 696.212470
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 512 1 192 681.552482
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 512 1 192 730.385570
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 512 1 192 601.684709
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 512 1 192 685.799265
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 512 1 192 644.249859
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 512 1 192 631.324901
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 512 1 192 725.987734
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 512 1 192 714.534512
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 512 1 192 698.969331
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 512 1 192 726.257471
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 512 1 192 752.145957
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 512 1 192 731.343757
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 512 1 192 719.640656
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 512 1 192 734.553495
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 8192 224 1 192 480.895112
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 8192 224 1 192 460.676097
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 8192 224 1 192 499.211384
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 8192 224 1 192 439.666227
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 8192 224 1 192 507.770961
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 8192 224 1 192 426.644341
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 8192 224 1 192 420.629493
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 8192 224 1 192 451.485431
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 8192 224 1 192 487.175150
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 8192 224 1 192 449.783742
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 8192 224 1 192 487.920643
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 8192 224 1 192 495.245724
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 8192 224 1 192 460.765282
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 8192 224 1 192 433.557483
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 8192 224 1 192 440.786283
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 32768 256 1 192 725.919192
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 32768 256 1 192 766.339680
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 32768 256 1 192 869.877609
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 32768 256 1 192 710.813567
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 32768 256 1 192 1002.121909
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 32768 256 1 192 894.047725
