#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 192 1748.814307
#Experience summarry : avg : 1748.814307 :: std : 0.000000 :: min : 1748.814307 :: max : 1748.814307 :: median : 1748.814307

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 192 1784.225931
#Experience summarry : avg : 1784.225931 :: std : 0.000000 :: min : 1784.225931 :: max : 1784.225931 :: median : 1784.225931

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 192 1770.935649
#Experience summarry : avg : 1770.935649 :: std : 0.000000 :: min : 1770.935649 :: max : 1770.935649 :: median : 1770.935649

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 192 1730.430315
#Experience summarry : avg : 1730.430315 :: std : 0.000000 :: min : 1730.430315 :: max : 1730.430315 :: median : 1730.430315

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 192 1659.161779
#Experience summarry : avg : 1659.161779 :: std : 0.000000 :: min : 1659.161779 :: max : 1659.161779 :: median : 1659.161779

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 192 1805.312921
#Experience summarry : avg : 1805.312921 :: std : 0.000000 :: min : 1805.312921 :: max : 1805.312921 :: median : 1805.312921

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 192 1824.007347
#Experience summarry : avg : 1824.007347 :: std : 0.000000 :: min : 1824.007347 :: max : 1824.007347 :: median : 1824.007347

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 192 1798.991605
#Experience summarry : avg : 1798.991605 :: std : 0.000000 :: min : 1798.991605 :: max : 1798.991605 :: median : 1798.991605

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 192 1802.940392
#Experience summarry : avg : 1802.940392 :: std : 0.000000 :: min : 1802.940392 :: max : 1802.940392 :: median : 1802.940392

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 192 1780.646796
#Experience summarry : avg : 1780.646796 :: std : 0.000000 :: min : 1780.646796 :: max : 1780.646796 :: median : 1780.646796

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 184 1763.422298
#Experience summarry : avg : 1763.422298 :: std : 0.000000 :: min : 1763.422298 :: max : 1763.422298 :: median : 1763.422298

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 184 1746.746875
#Experience summarry : avg : 1746.746875 :: std : 0.000000 :: min : 1746.746875 :: max : 1746.746875 :: median : 1746.746875

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 184 1761.677522
#Experience summarry : avg : 1761.677522 :: std : 0.000000 :: min : 1761.677522 :: max : 1761.677522 :: median : 1761.677522

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 184 1670.044060
#Experience summarry : avg : 1670.044060 :: std : 0.000000 :: min : 1670.044060 :: max : 1670.044060 :: median : 1670.044060

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 184 1821.222307
#Experience summarry : avg : 1821.222307 :: std : 0.000000 :: min : 1821.222307 :: max : 1821.222307 :: median : 1821.222307

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 184 1778.902652
#Experience summarry : avg : 1778.902652 :: std : 0.000000 :: min : 1778.902652 :: max : 1778.902652 :: median : 1778.902652

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 184 1781.529088
#Experience summarry : avg : 1781.529088 :: std : 0.000000 :: min : 1781.529088 :: max : 1781.529088 :: median : 1781.529088

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 184 1782.003547
#Experience summarry : avg : 1782.003547 :: std : 0.000000 :: min : 1782.003547 :: max : 1782.003547 :: median : 1782.003547

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 184 1799.444607
#Experience summarry : avg : 1799.444607 :: std : 0.000000 :: min : 1799.444607 :: max : 1799.444607 :: median : 1799.444607

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 184 1753.484690
#Experience summarry : avg : 1753.484690 :: std : 0.000000 :: min : 1753.484690 :: max : 1753.484690 :: median : 1753.484690

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 176 1624.578990
#Experience summarry : avg : 1624.578990 :: std : 0.000000 :: min : 1624.578990 :: max : 1624.578990 :: median : 1624.578990

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 176 1753.012176
#Experience summarry : avg : 1753.012176 :: std : 0.000000 :: min : 1753.012176 :: max : 1753.012176 :: median : 1753.012176

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 176 1631.924502
#Experience summarry : avg : 1631.924502 :: std : 0.000000 :: min : 1631.924502 :: max : 1631.924502 :: median : 1631.924502

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 176 1702.479038
#Experience summarry : avg : 1702.479038 :: std : 0.000000 :: min : 1702.479038 :: max : 1702.479038 :: median : 1702.479038

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 176 1694.624543
#Experience summarry : avg : 1694.624543 :: std : 0.000000 :: min : 1694.624543 :: max : 1694.624543 :: median : 1694.624543

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 176 1745.439544
#Experience summarry : avg : 1745.439544 :: std : 0.000000 :: min : 1745.439544 :: max : 1745.439544 :: median : 1745.439544

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 176 1685.446642
#Experience summarry : avg : 1685.446642 :: std : 0.000000 :: min : 1685.446642 :: max : 1685.446642 :: median : 1685.446642

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 176 1679.725428
#Experience summarry : avg : 1679.725428 :: std : 0.000000 :: min : 1679.725428 :: max : 1679.725428 :: median : 1679.725428

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 176 1725.147072
#Experience summarry : avg : 1725.147072 :: std : 0.000000 :: min : 1725.147072 :: max : 1725.147072 :: median : 1725.147072

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 176 1747.028318
#Experience summarry : avg : 1747.028318 :: std : 0.000000 :: min : 1747.028318 :: max : 1747.028318 :: median : 1747.028318

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 168 1643.184847
#Experience summarry : avg : 1643.184847 :: std : 0.000000 :: min : 1643.184847 :: max : 1643.184847 :: median : 1643.184847

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 168 1625.287646
#Experience summarry : avg : 1625.287646 :: std : 0.000000 :: min : 1625.287646 :: max : 1625.287646 :: median : 1625.287646

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 168 1704.704367
#Experience summarry : avg : 1704.704367 :: std : 0.000000 :: min : 1704.704367 :: max : 1704.704367 :: median : 1704.704367

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 168 1702.799854
#Experience summarry : avg : 1702.799854 :: std : 0.000000 :: min : 1702.799854 :: max : 1702.799854 :: median : 1702.799854

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 168 1656.074741
#Experience summarry : avg : 1656.074741 :: std : 0.000000 :: min : 1656.074741 :: max : 1656.074741 :: median : 1656.074741

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 168 1733.327189
#Experience summarry : avg : 1733.327189 :: std : 0.000000 :: min : 1733.327189 :: max : 1733.327189 :: median : 1733.327189

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 168 1539.485063
#Experience summarry : avg : 1539.485063 :: std : 0.000000 :: min : 1539.485063 :: max : 1539.485063 :: median : 1539.485063

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 168 1612.870334
#Experience summarry : avg : 1612.870334 :: std : 0.000000 :: min : 1612.870334 :: max : 1612.870334 :: median : 1612.870334

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 168 1683.121076
#Experience summarry : avg : 1683.121076 :: std : 0.000000 :: min : 1683.121076 :: max : 1683.121076 :: median : 1683.121076

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 168 1663.117071
#Experience summarry : avg : 1663.117071 :: std : 0.000000 :: min : 1663.117071 :: max : 1663.117071 :: median : 1663.117071

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 152 1558.185200
#Experience summarry : avg : 1558.185200 :: std : 0.000000 :: min : 1558.185200 :: max : 1558.185200 :: median : 1558.185200

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 152 1573.538368
#Experience summarry : avg : 1573.538368 :: std : 0.000000 :: min : 1573.538368 :: max : 1573.538368 :: median : 1573.538368

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 152 1508.987837
#Experience summarry : avg : 1508.987837 :: std : 0.000000 :: min : 1508.987837 :: max : 1508.987837 :: median : 1508.987837

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 152 1531.463067
#Experience summarry : avg : 1531.463067 :: std : 0.000000 :: min : 1531.463067 :: max : 1531.463067 :: median : 1531.463067

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 152 1499.998303
#Experience summarry : avg : 1499.998303 :: std : 0.000000 :: min : 1499.998303 :: max : 1499.998303 :: median : 1499.998303

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 152 1617.273681
#Experience summarry : avg : 1617.273681 :: std : 0.000000 :: min : 1617.273681 :: max : 1617.273681 :: median : 1617.273681

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 152 1575.918854
#Experience summarry : avg : 1575.918854 :: std : 0.000000 :: min : 1575.918854 :: max : 1575.918854 :: median : 1575.918854

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) 
dpotrf_taskdep 32768 512 1 152 1579.299222
